split,subsplit,beat_idx,source,spike_idx,qrs_gt_ms,window_pre,overlaps_any,n_beats_in_window,first_overlap_pos,err_ms
annotated,train,0,p19_1,17318,208.63999938964844,150,True,1,325.0,
annotated,train,1,p19_1,30913,201.91000366210938,150,False,0,,
annotated,train,2,p19_1,37950,208.63999938964844,150,True,1,301.0,
annotated,train,3,p19_1,44798,235.57000732421875,150,False,0,,
annotated,train,4,p19_1,52016,215.3699951171875,150,False,0,,
annotated,train,5,p19_1,59834,249.02999877929688,150,False,0,,
annotated,train,6,p19_1,66489,215.3699951171875,150,False,0,,
annotated,train,7,p19_1,73776,228.83999633789062,150,False,0,,
annotated,train,8,p19_1,80565,208.63999938964844,150,False,0,,
annotated,train,9,p19_1,87151,228.83999633789062,150,True,1,263.0,
annotated,train,10,p19_1,94021,228.83999633789062,150,False,0,,
annotated,train,11,p19_1,120198,215.3699951171875,150,False,0,,
annotated,train,12,p19_1,127295,215.3699951171875,150,False,0,,
annotated,train,13,p19_1,134597,215.3699951171875,150,False,0,,
annotated,train,14,p19_1,141929,201.91000366210938,150,False,0,,
annotated,train,15,p19_1,149294,215.3699951171875,150,False,0,,
annotated,train,16,p19_1,156204,208.63999938964844,150,True,1,272.0,
annotated,train,17,p19_1,163392,201.91000366210938,150,False,0,,
annotated,train,18,p19_1,170492,215.3699951171875,150,True,1,261.0,
annotated,train,19,p19_1,178150,235.57000732421875,150,True,1,8.0,
annotated,train,20,p19_1,185038,208.63999938964844,150,True,1,24.0,
annotated,train,21,p19_1,198875,242.3000030517578,150,True,1,20.0,
annotated,train,22,p19_1,205628,228.83999633789062,150,True,1,27.0,
annotated,train,23,p19_1,212201,235.57000732421875,150,True,2,251.0,
annotated,train,24,p19_1,218910,249.02999877929688,150,True,1,12.0,
annotated,train,25,p19_1,225571,255.75999450683594,150,False,0,,
annotated,train,26,p19_1,232157,262.489990234375,150,False,0,,
annotated,train,27,p19_1,285631,282.67999267578125,150,False,0,,
annotated,train,28,p19_1,304754,208.63999938964844,150,False,0,,
annotated,train,29,p19_1,312411,201.91000366210938,150,False,0,,
annotated,train,30,p19_1,319533,215.3699951171875,150,True,1,4.0,
annotated,train,31,p19_1,326747,208.63999938964844,150,False,0,,
annotated,train,32,p19_1,333512,188.4499969482422,150,True,1,40.0,
annotated,train,33,p19_1,340431,215.3699951171875,150,True,1,10.0,
annotated,train,34,p19_1,347379,208.63999938964844,150,True,1,29.0,
annotated,train,35,p19_1,353996,195.17999267578125,150,True,1,65.0,
annotated,train,36,p19_1,373625,222.10000610351562,150,False,0,,
annotated,train,37,p19_1,387739,141.33999633789062,150,False,0,,
annotated,train,38,p19_1,404092,208.63999938964844,150,True,1,73.0,
annotated,train,39,p19_1,412779,235.57000732421875,150,True,1,72.0,
annotated,train,40,p19_1,420394,222.10000610351562,150,False,0,,
annotated,train,41,p19_1,429896,215.3699951171875,150,True,1,56.0,
annotated,train,42,p19_1,442856,222.10000610351562,150,True,1,39.0,
annotated,train,43,p19_1,450890,195.17999267578125,150,False,0,,
annotated,train,44,p19_1,459011,228.83999633789062,150,True,1,87.0,
annotated,train,45,p19_1,467884,195.17999267578125,150,False,0,,
annotated,train,46,p19_1,475791,228.83999633789062,150,False,0,,
annotated,train,47,p19_1,486160,228.83999633789062,150,True,2,88.0,
annotated,train,48,p19_1,494373,201.91000366210938,150,True,1,46.0,
annotated,train,49,p19_1,502593,222.10000610351562,150,True,1,47.0,
annotated,train,50,p19_1,509885,208.63999938964844,150,False,0,,
annotated,train,51,p19_1,517834,215.3699951171875,150,False,0,,
annotated,train,52,p19_1,524993,201.91000366210938,150,False,0,,
annotated,train,53,p19_1,532350,249.02999877929688,150,True,1,82.0,
annotated,train,54,p19_1,540526,215.3699951171875,150,False,0,,
annotated,train,55,p19_1,556298,235.57000732421875,150,True,1,427.0,
annotated,train,56,p19_1,571350,235.57000732421875,150,True,4,268.0,
annotated,train,57,p19_1,596025,222.10000610351562,150,False,0,,
annotated,train,58,p19_1,601546,208.63999938964844,150,False,0,,
annotated,train,59,p19_1,608112,201.91000366210938,150,False,0,,
annotated,train,60,p19_1,613744,208.63999938964844,150,False,0,,
annotated,train,61,p19_1,618985,201.91000366210938,150,False,0,,
annotated,train,62,p19_1,624708,195.17999267578125,150,False,0,,
annotated,train,63,p19_1,630186,208.63999938964844,150,False,0,,
annotated,train,64,p19_1,635036,195.17999267578125,150,False,0,,
annotated,train,65,p19_1,640217,188.4499969482422,150,False,0,,
annotated,train,66,p19_1,645496,195.17999267578125,150,False,0,,
annotated,train,67,p19_1,650502,208.63999938964844,150,True,2,262.0,
annotated,train,68,p19_1,655252,195.17999267578125,150,False,0,,
annotated,train,69,p19_1,659840,222.10000610351562,150,False,0,,
annotated,train,70,p19_1,664223,242.3000030517578,150,True,2,259.0,
annotated,train,71,p19_1,668827,249.02999877929688,150,False,0,,
annotated,train,72,p19_1,688759,208.63999938964844,150,False,0,,
annotated,train,73,p19_1,694701,195.17999267578125,150,False,0,,
annotated,train,74,p19_1,700800,195.17999267578125,150,False,0,,
annotated,train,75,p19_1,706091,215.3699951171875,150,False,0,,
annotated,train,76,p19_1,711260,208.63999938964844,150,False,0,,
annotated,train,77,p19_1,716428,208.63999938964844,150,False,0,,
annotated,train,78,p19_1,721589,195.17999267578125,150,False,0,,
annotated,train,79,p19_1,726515,188.4499969482422,150,False,0,,
annotated,train,80,p19_1,731349,208.63999938964844,150,False,0,,
annotated,train,81,p19_1,736199,188.4499969482422,150,True,1,23.0,
annotated,train,82,p19_1,741054,228.83999633789062,150,True,1,34.0,
annotated,train,83,p19_1,746156,201.91000366210938,150,True,2,26.0,
annotated,train,84,p19_1,751636,228.83999633789062,150,True,2,262.0,
annotated,train,85,p19_1,756907,228.83999633789062,150,True,2,81.0,
annotated,train,86,p19_1,761838,222.10000610351562,150,True,1,76.0,
annotated,train,87,p19_1,767229,228.83999633789062,150,True,2,60.0,
annotated,train,88,p19_1,772780,235.57000732421875,150,True,1,67.0,
annotated,train,89,p19_1,778008,249.02999877929688,150,True,2,73.0,
annotated,train,90,p19_1,783420,242.3000030517578,150,True,2,64.0,
annotated,train,91,p19_1,794811,201.91000366210938,150,False,0,,
annotated,train,92,p19_1,801297,188.4499969482422,150,False,0,,
annotated,train,93,p19_1,806700,228.83999633789062,150,False,0,,
annotated,train,94,p19_1,812017,195.17999267578125,150,False,0,,
annotated,train,95,p19_1,817415,195.17999267578125,150,False,0,,
annotated,train,96,p19_1,822779,201.91000366210938,150,True,1,8.0,
annotated,train,97,p19_1,828173,201.91000366210938,150,False,0,,
annotated,train,98,p19_1,833349,181.72000122070312,150,True,1,4.0,
annotated,train,99,p19_1,838657,208.63999938964844,150,True,1,32.0,
annotated,train,100,p19_1,844063,188.4499969482422,150,True,1,31.0,
annotated,train,101,p19_1,849149,208.63999938964844,150,True,1,42.0,
annotated,train,102,p19_1,854291,201.91000366210938,150,True,1,81.0,
annotated,train,103,p19_1,859305,222.10000610351562,150,True,1,75.0,
annotated,train,104,p19_1,864460,235.57000732421875,150,True,1,83.0,
annotated,train,105,p19_1,871257,215.3699951171875,150,True,2,52.0,
annotated,train,106,p19_1,876986,188.4499969482422,150,True,2,53.0,
annotated,train,107,p19_1,884551,201.91000366210938,150,True,2,83.0,
annotated,train,108,p19_1,891171,208.63999938964844,150,True,3,41.0,
annotated,train,109,p19_1,897145,222.10000610351562,150,True,2,88.0,
annotated,train,110,p19_2,9930,208.63999938964844,150,False,0,,
annotated,train,111,p19_2,16501,228.83999633789062,150,False,0,,
annotated,train,112,p19_2,29319,215.3699951171875,150,False,0,,
annotated,train,113,p19_2,35969,228.83999633789062,150,False,0,,
annotated,train,114,p19_2,42309,222.10000610351562,150,False,0,,
annotated,train,115,p19_2,51528,228.83999633789062,150,False,0,,
annotated,train,116,p19_2,60042,222.10000610351562,150,False,0,,
annotated,train,117,p19_2,66234,215.3699951171875,150,False,0,,
annotated,train,118,p19_2,72591,215.3699951171875,150,False,0,,
annotated,train,119,p19_2,79013,242.3000030517578,150,False,0,,
annotated,train,120,p19_2,85218,195.17999267578125,150,False,0,,
annotated,train,121,p19_2,97974,222.10000610351562,150,False,0,,
annotated,train,122,p19_2,104160,201.91000366210938,150,False,0,,
annotated,train,123,p19_2,110251,195.17999267578125,150,False,0,,
annotated,train,124,p19_2,174897,208.63999938964844,150,False,0,,
annotated,train,125,p19_2,189667,201.91000366210938,150,False,0,,
annotated,train,126,p19_2,196160,215.3699951171875,150,False,0,,
annotated,train,127,p19_2,202649,222.10000610351562,150,False,0,,
annotated,train,128,p19_2,209220,195.17999267578125,150,False,0,,
annotated,train,129,p19_2,215709,215.3699951171875,150,False,0,,
annotated,train,130,p19_2,222744,222.10000610351562,150,False,0,,
annotated,train,131,p19_2,229625,195.17999267578125,150,False,0,,
